 serial number,character,token,ferquency(pre million),
60,而,5075337,2673.59027 ,
61,只,5050153,2660.32383 ,
62,生,4966773,2616.40084 ,
63,什,4828364,2543.48963 ,
64,身,4819905,2539.03359 ,
65,头,4813712,2535.77124 ,
66,样,4769842,2512.66136 ,
67,事,4729336,2491.32358 ,
68,多,4617194,2432.24932 ,
69,己,4569251,2406.99387 ,
70,家,4546765,2395.14867 ,
71,面,4532962,2387.87752 ,
72,知,4397165,2316.34226 ,
73,开,4346834,2289.82885 ,
74,如,4308194,2269.47404 ,
75,无,4177289,2200.51580 ,
76,现,4161139,2192.00829 ,
77,很,3994436,2104.19234 ,
78,点,3978856,2095.98509 ,
79,前,3967855,2090.18998 ,
80,发,3946829,2079.11388 ,
81,经,3923454,2066.80038 ,
82,情,3879008,2043.38708 ,
83,把,3798288,2000.86533 ,
84,老,3762961,1982.25575 ,
85,些,3752167,1976.56967 ,
86,话,3744917,1972.75051 ,
87,已,3720796,1960.04403 ,
88,又,3710252,1954.48965 ,
89,声,3671271,1933.95521 ,
90,意,3668831,1932.66987 ,
91,于,3614992,1904.30851 ,
92,回,3608341,1900.80489 ,
93,笑,3577465,1884.54001 ,
94,所,3534172,1861.73408 ,
95,但,3505257,1846.50222 ,
96,眼,3495315,1841.26496 ,
97,成,3478315,1832.30969 ,
98,方,3471764,1828.85875 ,
99,年,3465446,1825.53054 ,
100,见,3460998,1823.18742 ,
101,当,3437226,1810.66479 ,
102,女,3362646,1771.37747 ,
103,真,3314815,1746.18102 ,
104,两,3302466,1739.67580 ,
105,力,3298612,1737.64559 ,
106,气,3227369,1700.11614 ,
107,从,3173776,1671.88438 ,
108,用,3170468,1670.14179 ,
109,长,3100060,1633.05220 ,
110,动,3073269,1618.93922 ,
111,间,3067939,1616.13147 ,
112,国,3063867,1613.98642 ,
113,走,3020224,1590.99613 ,
114,让,2999423,1580.03856 ,
115,被,2998064,1579.32266 ,
116,给,2939384,1548.41116 ,
117,正,2933903,1545.52388 ,
118,问,2899681,1527.49638 ,
119,打,2882337,1518.35990 ,
120,明,2864492,1508.95949 ,
121,儿,2850098,1501.37701 ,
122,法,2798486,1474.18880 ,
123,才,2774963,1461.79733 ,
124,几,2760667,1454.26647 ,
125,行,2756706,1452.17989 ,
126,三,2747794,1447.48522 ,
127,定,2738825,1442.76053 ,
128,此,2725965,1435.98612 ,
129,进,2706350,1425.65332 ,
130,再,2681503,1412.56440 ,
131,种,2653924,1398.03631 ,
132,将,2629219,1385.02219 ,
133,实,2616492,1378.31785 ,
134,同,2614683,1377.36490 ,
135,最,2582957,1360.65225 ,
136,本,2579524,1358.84381 ,
137,向,2570964,1354.33457 ,
138,分,2568782,1353.18513 ,
139,十,2567177,1352.33965 ,
140,学,2566533,1352.00040 ,
141,高,2565932,1351.68381 ,
142,第,2558818,1347.93629 ,
143,感,2529138,1332.30143 ,
144,怎,2520317,1327.65470 ,
145,神,2509843,1322.13720 ,
146,听,2449553,1290.37758 ,
147,边,2448615,1289.88346 ,
148,作,2437693,1284.12996 ,
149,其,2417047,1273.25404 ,
150,吧,2403165,1265.94127 ,
151,却,2377929,1252.64743 ,
152,口,2375024,1251.11713 ,
153,觉,2372600,1249.84021 ,
154,啊,2366043,1246.38611 ,
155,因,2334623,1229.83466 ,
156,白,2322211,1223.29625 ,
157,次,2307457,1215.52413 ,
158,军,2275004,1198.42851 ,
159,做,2254997,1187.88921 ,
160,外,2234449,1177.06491 ,
161,门,2233462,1176.54498 ,
162,光,2185701,1151.38540 ,
163,风,2175031,1145.76465 ,
164,主,2156315,1135.90542 ,
165,住,2114870,1114.07299 ,
166,果,2105431,1109.10070 ,
167,与,2104552,1108.63766 ,
168,全,2085206,1098.44656 ,
169,二,2073729,1092.40070 ,
170,候,2064968,1087.78557 ,
171,公,2055138,1082.60732 ,
172,相,2037658,1073.39919 ,
173,吗,2028487,1068.56808 ,
174,等,2002114,1054.67529 ,
175,别,2000757,1053.96045 ,
176,色,1988512,1047.51002 ,
177,死,1979349,1042.68312 ,
178,张,1977218,1041.56055 ,
179,部,1972176,1038.90452 ,
180,太,1962845,1033.98913 ,
181,日,1944999,1024.58820 ,
182,少,1940099,1022.00698 ,
183,战,1924225,1013.64486 ,
184,理,1903915,1002.94594 ,
185,直,1902380,1002.13733 ,
186,重,1900814,1001.31239 ,
187,王,1891711,996.51710 ,
188,像,1883479,992.18064 ,
189,脸,1845354,972.09712 ,
190,比,1844194,971.48606 ,
191,快,1840001,969.27727 ,
192,何,1822108,959.85158 ,
193,水,1817943,957.65754 ,
194,名,1804559,950.60710 ,
195,体,1799811,948.10595 ,
196,呢,1793494,944.77827 ,
197,东,1783570,939.55050 ,
198,叫,1780163,937.75576 ,
199,西,1778761,937.01721 ,
200,应,1777404,936.30237 ,
201,便,1735257,914.10014 ,
202,放,1730745,911.72330 ,
203,马,1729443,911.03743 ,
204,难,1727440,909.98229 ,
205,轻,1720467,906.30905 ,
206,更,1703552,897.39855 ,
207,美,1692264,891.45225 ,
208,位,1682896,886.51736 ,
209,关,1675433,882.58600 ,
210,机,1672100,880.83024 ,
211,接,1671342,880.43094 ,
212,先,1662684,875.87007 ,
213,文,1637873,862.80011 ,
214,处,1626691,856.90965 ,
215,并,1624589,855.80235 ,
216,望,1623939,855.45995 ,
217,常,1623697,855.33246 ,
218,完,1623350,855.14967 ,
219,四,1598102,841.84951 ,
220,飞,1593771,839.56802 ,
221,师,1581750,833.23559 ,
222,者,1581047,832.86526 ,
223,安,1580103,832.36798 ,
224,清,1568814,826.42115 ,
225,刚,1561764,822.70735 ,
226,跟,1547565,815.22759 ,
227,月,1546594,814.71608 ,
228,信,1529741,805.83824 ,
229,山,1526952,804.36905 ,
230,爱,1516399,798.80993 ,
231,内,1509530,795.19148 ,
232,龙,1509393,795.11931 ,
233,空,1496062,788.09679 ,
234,带,1491966,785.93910 ,
235,找,1476145,777.60490 ,
236,原,1473346,776.13044 ,
237,入,1472056,775.45089 ,
238,李,1462547,770.44173 ,
239,连,1453048,765.43784 ,
240,吃,1445563,761.49489 ,
241,场,1443226,760.26380 ,
242,平,1439957,758.54175 ,
243,思,1438567,757.80953 ,
244,林,1435296,756.08643 ,
245,变,1428820,752.67500 ,
246,使,1415240,745.52131 ,
247,由,1400586,737.80187 ,
248,受,1388441,731.40411 ,
249,亲,1388321,731.34090 ,
250,命,1368062,720.66885 ,
251,目,1365310,719.21914 ,
252,强,1361353,717.13467 ,
253,男,1354324,713.43193 ,
254,任,1353727,713.11744 ,
255,该,1351318,711.84843 ,
256,路,1338441,705.06507 ,
257,车,1338066,704.86753 ,
258,今,1337566,704.60414 ,
259,海,1335124,703.31774 ,
260,加,1329722,700.47207 ,
261,远,1319096,694.87450 ,
262,活,1317244,693.89890 ,
263,特,1314148,692.26798 ,
264,解,1312068,691.17228 ,
265,电,1308303,689.18895 ,
266,世,1305454,687.68815 ,
267,性,1304637,687.25777 ,
268,表,1303318,686.56295 ,
269,许,1299512,684.55802 ,
270,它,1298568,684.06074 ,
271,立,1293824,681.56169 ,
272,黑,1292192,680.70198 ,
273,金,1291889,680.54237 ,
274,红,1282649,675.67491 ,
275,花,1277183,672.79553 ,
276,转,1276312,672.33670 ,
277,总,1273655,670.93705 ,
278,算,1263186,665.42218 ,
279,城,1258895,663.16176 ,
280,队,1255383,661.31171 ,
281,孩,1251885,659.46903 ,
282,反,1250683,658.83584 ,
283,工,1242237,654.38665 ,
284,始,1239671,653.03493 ,
285,满,1238021,652.16574 ,
286,新,1232035,649.01243 ,
287,兵,1226804,646.25684 ,
288,物,1225245,645.43559 ,
289,离,1222359,643.91530 ,
290,非,1219442,642.37868 ,
291,虽,1211358,638.12018 ,
292,云,1205872,635.23026 ,
293,似,1203009,633.72209 ,
294,万,1201402,632.87555 ,
295,至,1199059,631.64130 ,
296,干,1197831,630.99442 ,
297,通,1186869,625.21985 ,
298,认,1184729,624.09253 ,
299,失,1182384,622.85723 ,
300,火,1180390,621.80683 ,
301,哥,1176477,619.74554 ,
302,士,1175727,619.35045 ,
303,五,1170398,616.54324 ,
304,惊,1161953,612.09457 ,
305,魔,1160330,611.23961 ,
306,竟,1160070,611.10265 ,
307,姐,1158924,610.49895 ,
308,乎,1157322,609.65505 ,
309,剑,1151704,606.69560 ,
310,往,1143435,602.33965 ,
311,量,1142437,601.81392 ,
312,早,1138903,599.95228 ,
313,结,1132776,596.72469 ,
314,怕,1114820,587.26581 ,
315,流,1114438,587.06458 ,
316,突,1106693,582.98466 ,
317,坐,1106273,582.76342 ,
318,斯,1105720,582.47211 ,
319,音,1100301,579.61748 ,
320,紧,1099517,579.20449 ,
321,指,1099010,578.93741 ,
322,拉,1096796,577.77112 ,
323,杀,1095880,577.28858 ,
324,半,1095098,576.87664 ,
325,记,1094800,576.71966 ,
326,且,1092816,575.67453 ,
327,利,1091519,574.99129 ,
328,合,1085786,571.97126 ,
329,倒,1085421,571.77898 ,
330,书,1083351,570.68855 ,
331,度,1082785,570.39039 ,
332,微,1082510,570.24552 ,
333,步,1077549,567.63216 ,
334,教,1071585,564.49044 ,
335,喜,1069981,563.64549 ,
336,越,1069176,563.22143 ,
337,影,1067165,562.16207 ,
338,谁,1064240,560.62124 ,
339,冷,1063226,560.08708 ,
340,深,1060800,558.80911 ,
341,告,1054831,555.66476 ,
342,落,1054311,555.39083 ,
343,象,1041105,548.43416 ,
344,容,1038318,546.96603 ,
345,怪,1036985,546.26383 ,
346,传,1034638,545.02747 ,
347,钱,1034329,544.86470 ,
348,提,1026285,540.62727 ,
349,言,1026005,540.47977 ,
350,随,1016322,535.37895 ,
351,每,1015025,534.69572 ,
352,双,1011629,532.90677 ,
353,服,1011511,532.84461 ,
354,击,1010628,532.37946 ,
355,武,1003136,528.43282 ,
356,哪,998544,526.01384 ,
357,数,994719,523.99891 ,
358,站,994038,523.64017 ,
359,奇,982596,517.61274 ,
360,房,980289,516.39746 ,
361,管,979206,515.82696 ,
362,灵,978814,515.62046 ,
363,刻,977816,515.09473 ,
364,题,976178,514.23186 ,
365,衣,974727,513.46751 ,
366,周,972776,512.43976 ,
367,静,968467,510.16986 ,
368,伤,968363,510.11507 ,
369,百,962451,507.00074 ,
370,拿,958908,505.13436 ,
371,妈,956493,503.86218 ,
372,办,956075,503.64199 ,
373,星,955656,503.42127 ,
374,化,951401,501.17982 ,
375,功,945623,498.13608 ,
376,绝,943340,496.93343 ,
377,系,942245,496.35661 ,
378,般,940949,495.67390 ,
379,必,940785,495.58751 ,
380,业,938051,494.14729 ,
381,尔,936690,493.43034 ,
382,件,935235,492.66388 ,
383,血,933230,491.60768 ,
384,代,932729,491.34376 ,
385,精,932565,491.25737 ,
386,弟,931804,490.85649 ,
387,终,928837,489.29353 ,
388,近,925463,487.51617 ,
389,条,925439,487.50353 ,
390,青,914968,481.98761 ,
391,界,913395,481.15898 ,
392,司,911784,480.31034 ,
393,整,911668,480.24923 ,
394,欢,908850,478.76476 ,
395,字,906615,477.58741 ,
396,晚,904532,476.49012 ,
397,民,902697,475.52348 ,
398,帮,901633,474.96299 ,
399,切,900592,474.41461 ,
400,即,900101,474.15596 ,
401,忙,899024,473.58862 ,
402,交,898418,473.26939 ,
403,或,896787,472.41021 ,
404,暗,891081,469.40440 ,
405,夫,890506,469.10150 ,
406,员,887168,467.34310 ,
407,根,886057,466.75785 ,
408,石,885579,466.50605 ,
409,哈,879528,463.31850 ,
410,夜,877661,462.33500 ,
411,父,875667,461.28460 ,
412,制,870792,458.71654 ,
413,友,869919,458.25666 ,
414,阿,867275,456.86385 ,
415,息,864425,455.36253 ,
416,冲,862983,454.60291 ,
417,酒,862253,454.21836 ,
418,保,859752,452.90088 ,
419,片,859001,452.50527 ,
420,形,858843,452.42203 ,
421,阵,857774,451.85891 ,
422,南,856521,451.19885 ,
423,决,856467,451.17040 ,
424,请,856375,451.12194 ,
425,各,856128,450.99182 ,
426,报,856017,450.93335 ,
427,兴,854813,450.29911 ,
428,阳,850226,447.88276 ,
429,急,849907,447.71472 ,
430,语,843913,444.55720 ,
431,令,842791,443.96615 ,
432,错,839927,442.45745 ,
433,及,839825,442.40372 ,
434,刘,835052,439.88939 ,
435,极,832554,438.57349 ,
436,识,826907,435.59876 ,
437,备,823555,433.83299 ,
438,慢,820995,432.48443 ,
439,雪,820388,432.16468 ,
440,苦,810172,426.78308 ,
441,若,809209,426.27579 ,
442,领,808920,426.12355 ,
443,收,807363,425.30336 ,
444,底,806359,424.77447 ,
445,尽,805564,424.35568 ,
446,准,805527,424.33619 ,
447,华,800451,421.66225 ,
448,答,796906,419.79481 ,
449,众,796661,419.66575 ,
450,千,794964,418.77180 ,
451,消,792838,417.65187 ,
452,视,787375,414.77406 ,
453,罗,783224,412.58739 ,
454,敢,782369,412.13700 ,
455,留,778671,410.18896 ,
456,克,777926,409.79651 ,
457,乐,777260,409.44567 ,
458,够,768470,404.81527 ,
459,跑,767297,404.19736 ,
460,显,763327,402.10604 ,
461,嘴,762052,401.43439 ,
462,官,760400,400.56415 ,
463,断,759788,400.24176 ,
464,未,758953,399.80190 ,
465,势,756507,398.51339 ,
466,句,754300,397.35079 ,
467,求,749849,395.00608 ,
468,计,747431,393.73233 ,
469,论,744148,392.00291 ,
470,达,741782,390.75654 ,
471,则,740891,390.28718 ,
472,害,740250,389.94951 ,
473,八,740031,389.83415 ,
474,单,738919,389.24837 ,
475,久,737479,388.48980 ,
476,脚,735170,387.27347 ,
477,德,733775,386.53861 ,
478,元,732265,385.74317 ,
479,脑,728559,383.79092 ,
480,楚,728204,383.60391 ,
481,雨,725801,382.33806 ,
482,睛,724850,381.83709 ,
483,响,724098,381.44095 ,
484,刀,723425,381.08643 ,
485,确,722242,380.46325 ,
486,玉,721753,380.20565 ,
487,沉,718489,378.48624 ,
488,北,718033,378.24602 ,
489,格,715810,377.07499 ,
490,停,715545,376.93539 ,
491,陈,714404,376.33434 ,
492,市,712352,375.25338 ,
493,朝,709793,373.90535 ,
494,喝,707608,372.75433 ,
495,族,707445,372.66847 ,
496,江,705253,371.51377 ,
497,团,701923,369.75959 ,
498,母,701521,369.54782 ,
499,章,697369,367.36063 ,
500,装,695241,366.23964 ,
501,亮,693524,365.33515 ,
502,客,692916,365.01487 ,
503,照,692673,364.88686 ,
504,乱,692152,364.61241 ,
505,易,690500,363.74217 ,
506,足,680607,358.53073 ,
507,依,679811,358.11141 ,
508,黄,678776,357.56619 ,
509,修,678749,357.55197 ,
510,破,677496,356.89191 ,
511,台,676961,356.61008 ,
512,球,673782,354.93545 ,
513,呀,673765,354.92649 ,
514,院,672894,354.46766 ,
515,送,668592,352.20145 ,
516,包,667583,351.66993 ,
517,义,667264,351.50189 ,
518,诉,667093,351.41181 ,
519,攻,665395,350.51734 ,
520,丝,661300,348.36017 ,
521,围,659219,347.26394 ,
522,玩,658958,347.12645 ,
523,待,658854,347.07166 ,
524,复,656644,345.90748 ,
525,况,655809,345.46761 ,
526,楼,654626,344.84443 ,
527,丽,653445,344.22230 ,
528,痛,653298,344.14487 ,
529,梦,650909,342.88639 ,
530,呼,649070,341.91764 ,
531,摇,647544,341.11377 ,
532,期,647443,341.06057 ,
533,英,646331,340.47479 ,
534,低,646263,340.43896 ,
535,帝,643284,338.86968 ,
536,兄,642800,338.61472 ,
537,背,642470,338.44088 ,
538,持,641315,337.83245 ,
539,爷,641029,337.68179 ,
540,皇,640305,337.30040 ,
541,七,638221,336.20259 ,
542,六,635084,334.55008 ,
543,穿,634742,334.36992 ,
544,杨,633480,333.70512 ,
545,政,633183,333.54867 ,
546,运,630729,332.25595 ,
547,居,627014,330.29896 ,
548,叶,625969,329.74847 ,
549,热,625680,329.59623 ,
550,校,623489,328.44206 ,
551,谢,623220,328.30035 ,
552,曾,621971,327.64240 ,
553,古,621960,327.63661 ,
554,细,618534,325.83186 ,
555,产,617667,325.37514 ,
556,睡,616243,324.62500 ,
557,希,614576,323.74686 ,
558,速,614540,323.72790 ,
559,室,614287,323.59462 ,
560,旁,610425,321.56019 ,
561,另,608814,320.71155 ,
562,怀,607039,319.77651 ,
563,露,606979,319.74491 ,
564,异,605892,319.17229 ,
565,写,605147,318.77984 ,
566,鬼,604413,318.39319 ,
567,娘,603856,318.09977 ,
568,取,602170,317.21162 ,
569,式,600521,316.34296 ,
570,除,599918,316.02531 ,
571,级,599204,315.64918 ,
572,考,599063,315.57491 ,
573,建,598616,315.33944 ,
574,愿,597660,314.83584 ,
575,招,593719,312.75979 ,
576,饭,592046,311.87849 ,
577,布,591571,311.62827 ,
578,续,591245,311.45654 ,
579,程,590619,311.12677 ,
580,首,588887,310.21439 ,
581,观,588781,310.15855 ,
582,朋,588716,310.12431 ,
583,务,587619,309.54643 ,
584,掉,586059,308.72465 ,
585,赶,585731,308.55187 ,
586,忽,585369,308.36117 ,
587,注,583182,307.20910 ,
588,术,579874,305.46651 ,
589,甚,576087,303.47159 ,
590,差,573616,302.16992 ,
591,呵,570893,300.73549 ,
592,展,570379,300.46473 ,
593,争,569448,299.97429 ,
594,品,566800,298.57938 ,
595,兰,565307,297.79289 ,
596,宝,564720,297.48367 ,
597,香,563262,296.71563 ,
598,斗,562155,296.13248 ,
599,故,560446,295.23221 ,
600,雷,560379,295.19692 ,
601,念,559620,294.79709 ,
602,段,559051,294.49735 ,
603,顿,557768,293.82149 ,
604,角,557634,293.75091 ,
605,疑,556639,293.22676 ,
606,护,551817,290.68662 ,
607,闪,551016,290.26467 ,
608,木,547209,288.25922 ,
609,需,543409,286.25745 ,
610,调,542792,285.93242 ,
611,类,542775,285.92347 ,
612,妹,542424,285.73857 ,
613,爸,541485,285.24392 ,
614,线,539444,284.16876 ,
615,左,538289,283.56033 ,
616,游,537555,283.17367 ,
617,派,537090,282.92872 ,
618,谈,536829,282.79123 ,
619,激,535171,281.91783 ,
620,冰,534562,281.59702 ,
621,敌,534220,281.41686 ,
622,跳,532527,280.52502 ,
623,支,532396,280.45601 ,
624,约,526224,277.20472 ,
625,巴,523594,275.81929 ,
626,您,523541,275.79137 ,
627,顾,523266,275.64650 ,
628,肯,522835,275.41946 ,
629,醒,522582,275.28618 ,
630,铁,520031,273.94237 ,
631,抱,519992,273.92182 ,
632,淡,518865,273.32814 ,
633,造,518334,273.04842 ,
634,伙,518273,273.01628 ,
635,资,517472,272.59433 ,
636,群,516077,271.85947 ,
637,集,515762,271.69354 ,
638,联,514908,271.24367 ,
639,商,514550,271.05508 ,
640,号,513737,270.62681 ,
641,节,511250,269.31670 ,
642,讲,510842,269.10178 ,
643,掌,510260,268.79519 ,
644,赵,507405,267.29123 ,
645,密,506110,266.60905 ,
646,九,506014,266.55848 ,
647,病,505956,266.52793 ,
648,卫,504141,265.57182 ,
649,米,503964,265.47858 ,
650,威,503918,265.45435 ,
651,继,503302,265.12985 ,
652,渐,503123,265.03556 ,
653,统,503061,265.00289 ,
654,追,502402,264.65575 ,
655,亚,502177,264.53722 ,
656,简,501969,264.42765 ,
657,练,501341,264.09683 ,
658,基,499224,262.98164 ,
659,选,498189,262.43642 ,
660,推,497295,261.96548 ,
661,改,495567,261.05520 ,
662,退,494368,260.42359 ,
663,味,493741,260.09330 ,
664,份,493685,260.06380 ,
665,举,493503,259.96792 ,
666,示,492951,259.67714 ,
667,忍,492901,259.65080 ,
668,历,492045,259.19988 ,
669,器,489638,257.93192 ,
670,恐,489578,257.90031 ,
671,引,489419,257.81655 ,
672,试,489076,257.63586 ,
673,皮,487744,256.93419 ,
674,习,487160,256.62655 ,
675,靠,486494,256.27572 ,
676,导,486193,256.11716 ,
677,存,485467,255.73471 ,
678,莫,485268,255.62988 ,
679,志,485065,255.52295 ,
680,区,485061,255.52084 ,
681,汉,484364,255.15367 ,
682,右,483406,254.64902 ,
683,严,480979,253.37052 ,
684,态,478661,252.14944 ,
685,买,477539,251.55839 ,
686,幸,477019,251.28447 ,
687,社,476704,251.11853 ,
688,佛,475734,250.60755 ,
689,议,474942,250.19034 ,
690,树,474612,250.01651 ,
691,止,472691,249.00456 ,
692,块,472478,248.89236 ,
693,守,470593,247.89937 ,
694,毛,469562,247.35626 ,
695,挥,468277,246.67935 ,
696,胡,468131,246.60244 ,
697,散,468009,246.53817 ,
698,板,466756,245.87812 ,
699,仅,466676,245.83597 ,
700,隐,466049,245.50568 ,
701,怒,466019,245.48988 ,
702,床,465801,245.37504 ,
703,苏,465272,245.09637 ,
704,料,463518,244.17240 ,
705,股,461541,243.13095 ,
706,局,461034,242.86388 ,
707,班,459772,242.19908 ,
708,图,457307,240.90056 ,
709,岁,456625,240.54130 ,
710,礼,456545,240.49916 ,
711,独,456526,240.48915 ,
712,初,455646,240.02558 ,
713,福,455530,239.96447 ,
714,顺,454929,239.64788 ,
715,狂,454886,239.62523 ,
716,默,454458,239.39977 ,
717,巨,453729,239.01574 ,
718,既,453256,238.76658 ,
719,松,452901,238.57957 ,
720,证,452885,238.57114 ,
721,烈,452123,238.16973 ,
722,否,450892,237.52127 ,
723,恶,450813,237.47965 ,
724,治,450800,237.47280 ,
725,缓,450418,237.27157 ,
726,排,449584,236.83224 ,
727,费,449492,236.78377 ,
728,拍,449481,236.77798 ,
729,耳,448849,236.44505 ,
730,医,448630,236.32969 ,
731,寒,448294,236.15269 ,
732,哭,447753,235.86770 ,
733,温,447521,235.74549 ,
734,府,442709,233.21062 ,
735,担,442662,233.18586 ,
736,称,442107,232.89350 ,
737,余,441792,232.72756 ,
738,钟,439739,231.64608 ,
739,泪,439483,231.51122 ,
740,烟,435202,229.25607 ,
741,仍,434011,228.62868 ,
742,具,433976,228.61024 ,
743,忘,433906,228.57337 ,
744,恩,433653,228.44009 ,
745,毕,433506,228.36265 ,
746,警,433397,228.30523 ,
747,蓝,431855,227.49294 ,
748,宫,431590,227.35334 ,
749,吸,431549,227.33174 ,
750,陆,431372,227.23850 ,
751,究,429844,226.43358 ,
752,抓,428755,225.85992 ,
753,压,427672,225.28941 ,
754,沙,427658,225.28204 ,
755,救,427315,225.10135 ,
756,呆,427048,224.96070 ,
757,河,425953,224.38388 ,
758,迷,424854,223.80495 ,
759,枪,424121,223.41882 ,
760,组,423884,223.29397 ,
761,权,422461,222.54436 ,
762,叹,421997,222.29993 ,
763,孙,421364,221.96648 ,
764,卷,419864,221.17631 ,
765,查,417554,219.95945 ,
766,毫,414933,218.57875 ,
767,春,414544,218.37384 ,
768,察,413974,218.07357 ,
769,圣,413460,217.80280 ,
770,草,411706,216.87883 ,
771,较,411372,216.70289 ,
772,胜,411127,216.57383 ,
773,遇,409411,215.66987 ,
774,充,409223,215.57083 ,
775,史,409099,215.50551 ,
776,堂,408194,215.02878 ,
777,防,406226,213.99207 ,
778,据,405279,213.49321 ,
779,猛,403183,212.38908 ,
780,骑,402931,212.25633 ,
781,土,402279,211.91287 ,
782,卡,402256,211.90075 ,
783,助,401900,211.71322 ,
784,京,399657,210.53165 ,
785,银,399570,210.48582 ,
786,贵,399328,210.35834 ,
787,永,399313,210.35044 ,
788,质,398905,210.13551 ,
789,屋,398799,210.07967 ,
790,须,397623,209.46018 ,
791,副,396897,209.07773 ,
792,换,396459,208.84700 ,
793,刺,394555,207.84401 ,
794,属,394530,207.83084 ,
795,闻,394529,207.83032 ,
796,境,394043,207.57430 ,
797,禁,393943,207.52162 ,
798,阴,393419,207.24559 ,
799,共,393083,207.06859 ,
800,负,391986,206.49071 ,
801,弄,391479,206.22364 ,
802,翻,391454,206.21047 ,
803,虎,391382,206.17254 ,
804,层,390823,205.87807 ,
805,喊,390618,205.77008 ,
806,逃,388318,204.55848 ,
807,晓,388267,204.53162 ,
808,座,388236,204.51529 ,
809,雅,387226,203.98324 ,
810,参,387049,203.89000 ,
811,射,386983,203.85523 ,
812,婚,386955,203.84048 ,
813,险,386142,203.41221 ,
814,君,385417,203.03029 ,
815,划,385366,203.00342 ,
816,坚,385150,202.88964 ,
817,价,384863,202.73845 ,
818,柔,384782,202.69578 ,
819,超,383924,202.24381 ,
820,扬,383219,201.87243 ,
821,科,383049,201.78287 ,
822,按,382695,201.59639 ,
823,狠,382360,201.41992 ,
824,野,381317,200.87049 ,
825,秦,381190,200.80359 ,
826,秘,380904,200.65293 ,
827,熟,379833,200.08875 ,
828,置,379704,200.02079 ,
829,仙,379429,199.87593 ,
830,模,378985,199.64204 ,
831,伸,378380,199.32333 ,
832,波,377782,199.00832 ,
833,肉,377486,198.85239 ,
834,假,377294,198.75125 ,
835,齐,376615,198.39356 ,
836,舞,376446,198.30454 ,
837,脱,375299,197.70032 ,
838,广,374959,197.52122 ,
839,姑,374941,197.51173 ,
840,麻,374419,197.23675 ,
841,投,373978,197.00444 ,
842,顶,372322,196.13209 ,
843,致,370734,195.29557 ,
844,责,370704,195.27976 ,
845,景,369788,194.79723 ,
846,营,369626,194.71189 ,
847,维,369458,194.62339 ,
848,设,369436,194.61181 ,
849,坏,365836,192.71539 ,
850,啦,365599,192.59055 ,
851,秀,364108,191.80512 ,
852,败,364055,191.77720 ,
853,眉,363007,191.22513 ,
854,州,362849,191.14190 ,
855,药,361732,190.55349 ,
856,承,361606,190.48711 ,
857,案,361285,190.31801 ,
858,狼,360398,189.85076 ,
859,专,360222,189.75805 ,
860,偷,359993,189.63741 ,
861,画,359784,189.52732 ,
862,吴,358239,188.71344 ,
863,店,356601,187.85057 ,
864,哦,356333,187.70940 ,
865,弹,355948,187.50659 ,
866,食,353226,186.07269 ,
867,欲,353022,185.96522 ,
868,抬,352793,185.84459 ,
869,标,352517,185.69920 ,
870,秋,352446,185.66180 ,
871,厉,352288,185.57857 ,
872,良,352124,185.49218 ,
873,际,352008,185.43107 ,
874,状,351779,185.31044 ,
875,烦,350929,184.86267 ,
876,午,350826,184.80841 ,
877,摆,349256,183.98137 ,
